# INTERNAL WORKING - NOT VERIFIED FOR EXTERNAL USE. Numbers pending attestation-stability per F1 discipline.
# Baseline: post-M-RI-16 remediated run (audit/out/attested-remediated-2026-08-02/, produced by rerun_remediated.py under rules.py sha256 33bf6bfb...86a7, the PREREGISTRATION §9 A2 re-pin; inputs read at HEAD 0139558 'M-RI-16-P2'; during this pass commit 59b8f39 'M-RI-16-P3' landed, committing those same outputs with input bytes unchanged).
# A3 recompute 2026-08-03: acq_secure_date_verbatim + temporal_class added per PREREGISTRATION §9 A3 (year-granular; classes pre-declared before join); source crm_acq_dates.json sha256 480c2752...ebedd
pin,finding,crm_status_verbatim,held_rule,assessor_max_year,owner_name_verbatim,mail_name_verbatim,annual_tax_sale_years,annual_sold_at_sale_verbatim,annual_tax_amount_offered,annual_total_tax_and_penalty_offered,scavenger_tax_sale_years,scavenger_from_to_years,scavenger_total_amount_paid,citation,acq_secure_date_verbatim,temporal_class
31-32-105-012-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1368.67; 744.44,1686.11; 945.5,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-105-014-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1597.56; 869.35,1968.22; 1104.07,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-105-016-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1368.67; 744.44,1686.11; 945.5,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-105-018-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1368.25; 744.44,1685.56; 945.5,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-105-019-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-105-020-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-105-021-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-105-023-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-105-024-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1852.84; 1008.18,2282.56; 1280.34,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-106-003-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-106-004-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1450.82; 789.42,1787.3; 1002.54,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-106-005-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1571.3; 854.79,1935.76; 1085.55,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-106-007-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1642.21; 893.3,2023.23; 1134.5,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-106-008-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1893; 1030.02,2332.02; 1308.12,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-106-009-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,2875.66; 1564.77,3542.6; 1987.23,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-106-010-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-106-013-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1510.08; 821.62,1860.33; 1043.38,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-106-014-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-106-017-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1642.21; 893.3,2023.23; 1134.5,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-106-018-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1368.67; 744.44,1686.11; 945.5,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-32-106-019-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-106-021-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
31-32-106-023-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012,False; True,1595.59; 867.9,1965.63; 1102.26,NULL,NULL,NULL,"55ju-2fs9 rows=2, ydgz-vkrp rows=0, 3723-97qp rows=19; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
31-36-303-020-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011,True,1948.1,2390.71,NULL,NULL,NULL,"55ju-2fs9 rows=1, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
32-19-313-031-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
32-21-409-019-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
32-25-114-011-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
32-29-222-016-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
32-32-415-050-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
